mode,feature_set,feature_set_desc,condition,condition_desc,classifier,n_seeds,kappa_mean,kappa_std,kappa_ci_lo,kappa_ci_hi,acc_mean,acc_std,acc_ci_lo,acc_ci_hi,f1_asphyxia_mean,f1_asphyxia_std,f1_deaf_mean,f1_deaf_std,f1_hunger_mean,f1_hunger_std,f1_normal_mean,f1_normal_std,f1_pain_mean,f1_pain_std,sensitivity_mean,sensitivity_std,sensitivity_ci_lo,sensitivity_ci_hi,specificity_mean,specificity_std,specificity_ci_lo,specificity_ci_hi,auc_mean,auc_std,auc_ci_lo,auc_ci_hi,f1_healthy_mean,f1_healthy_std,f1_pathology_mean,f1_pathology_std
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9103,0.0024,0.907,0.9132,0.933,0.0018,0.9305,0.9351,0.9373,0.0036,0.9969,0.0003,0.8515,0.0042,0.9434,0.0025,0.7575,0.0057,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.8861,0.001,0.8844,0.887,0.9146,0.0008,0.9133,0.9153,0.9345,0.0011,0.9872,0.0013,0.8141,0.0068,0.9266,0.004,0.7169,0.0078,,,,,,,,,,,,,,,,
multiclass,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9122,0.0032,0.9077,0.9165,0.9344,0.0024,0.931,0.9377,0.9443,0.0034,0.9905,0.0013,0.8523,0.0054,0.9532,0.0021,0.7625,0.0073,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9247,0.0039,0.9204,0.9309,0.9438,0.0029,0.9406,0.9484,0.9526,0.0046,0.9946,0.0012,0.8783,0.0051,0.9547,0.0061,0.7877,0.0145,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.9079,0.0042,0.9032,0.9139,0.9314,0.0031,0.9279,0.9358,0.9349,0.0076,0.9933,0.001,0.8546,0.0111,0.9446,0.0033,0.7435,0.0198,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9181,0.0077,0.9063,0.9278,0.9391,0.0056,0.9306,0.9462,0.9476,0.0025,0.9839,0.0067,0.8774,0.0069,0.9537,0.0036,0.7857,0.0179,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9143,0.0065,0.9038,0.922,0.9362,0.0048,0.9285,0.9418,0.9429,0.0037,0.9841,0.0049,0.8807,0.011,0.9437,0.004,0.7822,0.0169,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.9186,0.0044,0.9128,0.9248,0.9391,0.0033,0.9347,0.9437,0.9507,0.0063,0.9919,0.0031,0.8707,0.0091,0.9527,0.0037,0.7796,0.0079,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9019,0.0023,0.8987,0.9051,0.9268,0.0017,0.9244,0.9293,0.9344,0.0009,0.9892,0.0011,0.8559,0.005,0.9336,0.0034,0.7346,0.0152,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.9315,0.0028,0.9281,0.9358,0.9489,0.0021,0.9463,0.9521,0.9553,0.002,0.9955,0.0009,0.8881,0.0074,0.9566,0.003,0.8146,0.0107,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.9159,0.0047,0.9089,0.9224,0.9373,0.0035,0.9321,0.9422,0.9459,0.0049,0.9937,0.0015,0.8633,0.0079,0.9508,0.0041,0.7607,0.0159,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.9238,0.0053,0.92,0.9332,0.9433,0.0039,0.9406,0.9502,0.9523,0.0016,0.9863,0.0051,0.8824,0.0086,0.9552,0.003,0.806,0.0109,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9186,0.0051,0.9127,0.9252,0.9394,0.0038,0.9349,0.9443,0.9432,0.0056,0.9842,0.0018,0.887,0.0063,0.9455,0.0081,0.804,0.0048,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.9254,0.0058,0.919,0.9345,0.9442,0.0044,0.9393,0.951,0.9535,0.0051,0.9934,0.0017,0.8854,0.0118,0.9504,0.0043,0.8036,0.0163,,,,,,,,,,,,,,,,
multiclass,E,FOSP+comp+EEFGabor (FisherVec),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9034,0.0032,0.8996,0.9071,0.928,0.0024,0.9251,0.9307,0.9317,0.0046,0.9879,0.0008,0.8616,0.0075,0.9337,0.0026,0.7472,0.0128,,,,,,,,,,,,,,,,
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9512,0.0038,0.946,0.9554,0.9757,0.0019,0.9732,0.9779,,,,,,,,,,,0.9834,0.0027,0.9797,0.9867,0.9668,0.0011,0.9657,0.9684,0.9972,0.0003,0.9969,0.9977,0.9736,0.002,0.9776,0.0018
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8877,0.0032,0.8831,0.8908,0.9442,0.0016,0.9419,0.9457,,,,,,,,,,,0.9483,0.002,0.9453,0.9507,0.9394,0.0017,0.9372,0.9417,0.9874,0.0007,0.9868,0.9886,0.9396,0.0017,0.9481,0.0015
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9548,0.0048,0.9482,0.962,0.9776,0.0024,0.9743,0.9811,,,,,,,,,,,0.9934,0.0024,0.9904,0.9972,0.9592,0.0027,0.9554,0.9626,0.9966,0.0004,0.9963,0.9973,0.9754,0.0026,0.9795,0.0022
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9499,0.0025,0.9476,0.953,0.9751,0.0012,0.974,0.9766,,,,,,,,,,,0.9829,0.0018,0.9798,0.9844,0.9661,0.0019,0.9638,0.9676,0.996,0.0005,0.9954,0.9967,0.9729,0.0013,0.977,0.0011
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.9303,0.003,0.9267,0.9349,0.9653,0.0015,0.9635,0.9676,,,,,,,,,,,0.9652,0.0027,0.961,0.9686,0.9655,0.0032,0.9611,0.9693,0.9938,0.0003,0.9934,0.994,0.9626,0.0016,0.9677,0.0014
binary,B,comp+EEFGabor (sin FOSP),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9506,0.0044,0.9443,0.9562,0.9755,0.0022,0.9724,0.9783,,,,,,,,,,,0.9916,0.001,0.9902,0.9926,0.9567,0.0045,0.9515,0.9626,0.9976,0.0003,0.9971,0.9981,0.973,0.0025,0.9775,0.002
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.953,0.0057,0.9447,0.9605,0.9766,0.0028,0.9725,0.9804,,,,,,,,,,,0.9821,0.0042,0.9773,0.9888,0.9703,0.0024,0.9668,0.9732,0.9977,0.0002,0.9975,0.9979,0.9746,0.003,0.9783,0.0026
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.8986,0.002,0.8956,0.9006,0.9496,0.001,0.9481,0.9506,,,,,,,,,,,0.9527,0.0024,0.9494,0.9556,0.9459,0.0027,0.942,0.9485,0.9886,0.0001,0.9884,0.9887,0.9455,0.0011,0.9531,0.0009
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.9552,0.0004,0.9547,0.9556,0.9778,0.0002,0.9775,0.978,,,,,,,,,,,0.9939,0.0004,0.9934,0.9943,0.959,0.0,0.959,0.959,0.9968,0.0001,0.9967,0.9971,0.9756,0.0002,0.9796,0.0002
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9508,0.0009,0.9495,0.952,0.9756,0.0004,0.9749,0.9761,,,,,,,,,,,0.9834,0.0006,0.9828,0.9843,0.9664,0.0011,0.9648,0.9676,0.9965,0.0001,0.9964,0.9967,0.9734,0.0005,0.9774,0.0004
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.9312,0.0042,0.9273,0.9381,0.9658,0.0021,0.9638,0.9692,,,,,,,,,,,0.9642,0.0031,0.9594,0.9672,0.9676,0.0037,0.9629,0.9721,0.9944,0.0002,0.9942,0.9947,0.9632,0.0023,0.968,0.002
binary,B,comp+EEFGabor (sin FOSP),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9522,0.0037,0.9477,0.9572,0.9763,0.0018,0.9741,0.9787,,,,,,,,,,,0.9898,0.0015,0.9878,0.9917,0.9605,0.0038,0.9555,0.9655,0.9979,0.0001,0.9977,0.998,0.974,0.0021,0.9782,0.0017
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9405,0.0083,0.9269,0.9491,0.9705,0.0041,0.9637,0.9747,,,,,,,,,,,0.981,0.0036,0.9751,0.985,0.9582,0.0049,0.9502,0.9628,0.9966,0.0005,0.996,0.9972,0.9677,0.0045,0.9727,0.0038
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.879,0.0094,0.8666,0.8911,0.9399,0.0047,0.9336,0.9459,,,,,,,,,,,0.9437,0.006,0.9362,0.9512,0.9354,0.005,0.9306,0.9439,0.9871,0.0011,0.9863,0.989,0.935,0.005,0.944,0.0044
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9466,0.0043,0.9394,0.9509,0.9735,0.0021,0.97,0.9757,,,,,,,,,,,0.9921,0.0015,0.9896,0.9934,0.952,0.0032,0.9471,0.9552,0.9959,0.0003,0.9954,0.9964,0.9708,0.0024,0.9758,0.0019
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.9482,0.0031,0.9443,0.952,0.9743,0.0015,0.9723,0.9761,,,,,,,,,,,0.9759,0.002,0.9724,0.9778,0.9724,0.0026,0.9681,0.9751,0.9954,0.0004,0.9948,0.9958,0.9722,0.0016,0.976,0.0014
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.92,0.0045,0.9144,0.9262,0.9601,0.0023,0.9573,0.9632,,,,,,,,,,,0.9472,0.0057,0.9404,0.9557,0.9752,0.0026,0.9717,0.9788,0.9919,0.0008,0.9913,0.9933,0.9577,0.0022,0.9623,0.0023
binary,C,FOSP+comp+EEFGabor (sin reduc.),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9477,0.0027,0.9451,0.9524,0.9741,0.0013,0.9728,0.9764,,,,,,,,,,,0.991,0.0005,0.9902,0.9917,0.9544,0.0024,0.9524,0.9585,0.9971,0.0003,0.9968,0.9976,0.9715,0.0015,0.9762,0.0012
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.9453,0.0039,0.9424,0.9521,0.9728,0.0019,0.9714,0.9762,,,,,,,,,,,0.9795,0.0024,0.977,0.9827,0.9651,0.0035,0.9595,0.9692,0.997,0.0003,0.9967,0.9974,0.9705,0.0021,0.9749,0.0018
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.886,0.0021,0.8831,0.889,0.9433,0.0011,0.9419,0.9448,,,,,,,,,,,0.947,0.0011,0.9459,0.9489,0.939,0.0013,0.9372,0.9408,0.9889,0.0001,0.9887,0.9891,0.9387,0.0012,0.9472,0.001
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.9479,0.0011,0.9467,0.9492,0.9742,0.0005,0.9735,0.9748,,,,,,,,,,,0.9913,0.0004,0.991,0.9918,0.9542,0.0009,0.9533,0.9552,0.9963,0.0002,0.9961,0.9966,0.9716,0.0006,0.9763,0.0005
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9493,0.0007,0.9486,0.9502,0.9748,0.0003,0.9744,0.9753,,,,,,,,,,,0.9767,0.0007,0.9762,0.9778,0.9725,0.0004,0.9724,0.9732,0.9957,0.0001,0.9956,0.9959,0.9727,0.0003,0.9765,0.0003
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.9217,0.0025,0.9188,0.9254,0.9609,0.0013,0.9595,0.9628,,,,,,,,,,,0.9462,0.0035,0.9413,0.9512,0.9781,0.0018,0.9762,0.9807,0.9938,0.0001,0.9937,0.994,0.9586,0.0012,0.963,0.0013
binary,C,FOSP+comp+EEFGabor (sin reduc.),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9515,0.003,0.9463,0.9538,0.9759,0.0015,0.9734,0.9771,,,,,,,,,,,0.9913,0.0008,0.9902,0.9925,0.9581,0.0032,0.9528,0.9617,0.9974,0.0001,0.9972,0.9975,0.9736,0.0017,0.9779,0.0013
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9345,0.004,0.9294,0.9408,0.9675,0.002,0.9649,0.9706,,,,,,,,,,,0.9739,0.0011,0.9723,0.9753,0.96,0.0032,0.9563,0.9652,0.9954,0.0005,0.9946,0.9958,0.9646,0.0022,0.9699,0.0018
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.8823,0.0061,0.8741,0.888,0.9415,0.003,0.9375,0.9444,,,,,,,,,,,0.9534,0.0038,0.9472,0.9565,0.9277,0.0028,0.9232,0.9303,0.9832,0.001,0.9819,0.9846,0.9362,0.0033,0.946,0.0029
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9367,0.0028,0.9333,0.9394,0.9686,0.0014,0.9669,0.97,,,,,,,,,,,0.9885,0.0012,0.987,0.9901,0.9455,0.0018,0.9429,0.9475,0.9934,0.0004,0.9927,0.9939,0.9653,0.0015,0.9713,0.0013
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-polinomial,5,0.929,0.0021,0.9263,0.932,0.9648,0.001,0.9635,0.9664,,,,,,,,,,,0.9906,0.0029,0.9878,0.9954,0.9348,0.0027,0.9323,0.938,0.9928,0.0006,0.9921,0.9938,0.9609,0.0011,0.968,0.001
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),kNN,5,0.9294,0.0064,0.9201,0.9369,0.9649,0.0032,0.9602,0.9686,,,,,,,,,,,0.9644,0.0038,0.9598,0.9687,0.9655,0.0035,0.9602,0.9685,0.9928,0.0009,0.9917,0.9939,0.9622,0.0034,0.9673,0.003
binary,D,FOSP+comp+EEFGabor (k=60),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),RandomForest,5,0.9346,0.0017,0.9325,0.9361,0.9675,0.0009,0.9665,0.9683,,,,,,,,,,,0.9811,0.0014,0.9796,0.9833,0.9518,0.0021,0.9496,0.955,0.9959,0.0003,0.9954,0.9963,0.9645,0.001,0.9701,0.0008
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),MLP,5,0.9379,0.0073,0.9259,0.9456,0.9691,0.0036,0.9632,0.973,,,,,,,,,,,0.9757,0.0033,0.9709,0.9801,0.9615,0.005,0.9539,0.9673,0.996,0.0005,0.9951,0.9966,0.9665,0.004,0.9714,0.0034
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-lineal,5,0.8787,0.0021,0.8752,0.8809,0.9398,0.0011,0.938,0.9409,,,,,,,,,,,0.9519,0.0022,0.9486,0.9547,0.9256,0.0013,0.9238,0.9275,0.9839,0.0002,0.9837,0.9841,0.9343,0.0011,0.9444,0.001
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-RBF,5,0.9385,0.0016,0.9368,0.941,0.9695,0.0008,0.9687,0.9708,,,,,,,,,,,0.9897,0.0008,0.9886,0.9909,0.946,0.0015,0.9439,0.9476,0.9935,0.0001,0.9933,0.9937,0.9663,0.0009,0.9721,0.0007
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),SVM-polinomial,5,0.9242,0.0007,0.9234,0.9251,0.9624,0.0003,0.9621,0.9629,,,,,,,,,,,0.9882,0.0004,0.9877,0.9885,0.9325,0.0007,0.9315,0.9333,0.9932,0.0002,0.9929,0.9934,0.9583,0.0004,0.9658,0.0003
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),kNN,5,0.9286,0.0026,0.9256,0.9317,0.9645,0.0013,0.963,0.966,,,,,,,,,,,0.9634,0.002,0.9607,0.9655,0.9657,0.0013,0.9639,0.9675,0.9914,0.0004,0.9911,0.9919,0.9617,0.0014,0.9668,0.0012
binary,D,FOSP+comp+EEFGabor (k=60),G-1s,GroupKFold por grabación — 1s_X (leakage controlado),RandomForest,5,0.9367,0.0028,0.932,0.9395,0.9686,0.0014,0.9663,0.97,,,,,,,,,,,0.9816,0.0013,0.9803,0.9835,0.9535,0.0026,0.9498,0.9569,0.996,0.0002,0.9958,0.9963,0.9656,0.0016,0.9711,0.0013
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),MLP,5,0.9723,0.0034,0.9676,0.9773,0.9862,0.0017,0.9839,0.9887,,,,,,,,,,,0.9884,0.0011,0.987,0.99,0.9838,0.0037,0.9801,0.9898,0.9974,0.0013,0.9956,0.999,0.9851,0.0018,0.9872,0.0015
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-lineal,5,0.9468,0.0042,0.9433,0.954,0.9735,0.0021,0.9718,0.9771,,,,,,,,,,,0.9762,0.0012,0.9747,0.9778,0.9704,0.0038,0.9685,0.9771,0.9894,0.0017,0.9868,0.9913,0.9714,0.0023,0.9754,0.0019
binary,E,FOSP+comp+EEFGabor (FisherVec),S-1s,StratifiedKFold aleatorio — 1s_X (baseline literatura),SVM-RBF,5,0.9659,0.0031,0.9619,0.9696,0.9831,0.0015,0.9811,0.9849,,,,,,,,,,,0.9897,0.0028,0.9877,0.9945,0.9754,0.0026,0.9733,0.9789,0.9972,0.0006,0.9966,0.9981,0.9816,0.0017,0.9843,0.0014
